model,lr,img,batch,epochs,val_loss,val_acc,duration_sec
CNN01,0.001,128,32,14,0.6796860274146584,0.7769516728624535,644
CNN01,0.001,128,64,7,0.7096310026115842,0.7230483271375465,175.4
CNN01,0.0005,128,32,10,0.6088612342582029,0.758364312,244.7
CNN01,0.0005,128,64,8,0.6262638999356164,0.7490706319702602,209.5
CNN01,0.0003,128,32,12,0.6271171990562888,0.7509293680297398,287.6
CNN01,0.0003,128,64,9,0.6120487948258718,0.7843866171003717,244.3
CNN01,0.0001,128,32,9,0.6503276667174172,0.7732342007434945,235
CNN01,0.0001,128,64,14,0.6147491203414069,0.758364312,349.9
CNN01,0.00007,128,32,23,0.601134767,0.7676579925650557,595.8
CNN01,0.00007,128,64,14,0.6326727436648475,0.7732342007434945,352.3
CNN02,0.0005,128,64,17,0.5934010975890689,0.7695167286245354,2583.67
CNN02,0.0003,128,32,10,0.6038369799361509,0.741635688,1118.23
CNN02,0.0003,128,64,8,0.6767930289109548,0.7620817843866171,973.98
CNN02,0.0001,128,64,18,0.5813305113050673,0.7806691449814126,2181.71
CNN02,0.00007,128,32,9,0.5990458946017658,0.7695167286245354,995.08
CNN02,0.00007,128,64,12,0.5947634710205926,0.7676579925650557,1475.36
CNN02,0.0001,128,32,9,0.59487043,0.7936802973977695,957.64
CNN02,0.001,128,32,12,0.6775587990003473,0.758364312,1379.45
CNN02,0.001,128,64,11,0.6920722954803042,0.5762081784386617,1346.59
CNN02,0.0005,128,32,9,0.6796524051357719,0.7565055762081785,957.9
CNN02,0.001,224,32,12,0.8192335156833425,0.7137546468401487,5326.45
ResNetTransfer,0.0003,224,32,30,0.059880367,0.983271375,8425.04
